Layer,Avg_Router_Entropy
MoE_Layer_0,4.088826572377598
MoE_Layer_1,4.0942792892456055
MoE_Layer_2,4.09382811147204
MoE_Layer_3,4.089122972949228
MoE_Layer_4,4.0936806770156
MoE_Layer_5,4.09279254457191
MoE_Layer_6,4.0928213660781445
MoE_Layer_7,4.093726285845407
MoE_Layer_8,4.094280130056745
MoE_Layer_9,4.094263864871813
MoE_Layer_10,4.094272453798611
MoE_Layer_11,4.0942535400390625
MoE_Layer_12,4.094257764402323
MoE_Layer_13,4.087811894147343
MoE_Layer_14,4.0942153653387745
MoE_Layer_15,4.094166493240094
MoE_Layer_16,4.086239467967641
MoE_Layer_17,4.085573091749087
MoE_Layer_18,4.094130539874578
MoE_Layer_19,4.094224359245207
MoE_Layer_20,4.094180196938605
MoE_Layer_21,4.094259169919876
MoE_Layer_22,4.094265618742147
MoE_Layer_23,4.091245770747304
